,TIME,DEPTH,TEMP,PRES,PSAL,CNDC
212,19762.332291666666,25,3.465,26.0,34.619,31.771
213,19762.442546296297,25,7.691,26.0,34.836,35.784
214,19762.445590277777,25,3.535,29.0,34.64,31.852
215,19762.44958333333,25,5.015,26.0,35.091,33.558
216,19762.48491898148,25,7.995,27.0,35.003,36.22
217,19762.531724537035,25,8.208,28.0,35.291000000000004,36.687
218,19762.57851851852,25,7.758,25.0,35.29,36.264
219,19762.58888888889,25,3.9290000000000003,26.0,34.868,32.39
220,19762.623518518518,25,4.7780000000000005,26.0,35.096000000000004,33.347
221,19762.634224537036,25,7.339,25.0,35.242,35.83
222,19762.68553240741,25,8.021,25.0,35.35,36.566
223,19762.72287037037,25,3.821,26.0,34.752,32.197
224,19762.735416666666,25,7.986,27.0,35.337,36.521
225,19762.765462962965,25,4.591,26.0,35.097,33.179
226,19762.78584490741,25,7.9670000000000005,26.0,35.338,36.505
227,19762.835671296296,25,7.909,27.0,35.335,36.448
228,19762.872442129632,25,3.966,27.0,34.814,32.379
229,19762.984629629627,25,3.802,26.0,34.93,32.329
230,19763.005613425925,25,5.2250000000000005,25.0,35.096000000000004,33.753
231,19763.040856481482,25,7.674,26.0,35.313,36.208
232,19763.087361111113,25,7.817,27.0,35.345,36.371
233,19763.109340277777,25,2.874,30.0,34.928,31.504
234,19763.139143518518,25,7.966,27.0,35.353,36.518
235,19763.142337962963,25,5.3500000000000005,26.0,35.094,33.866
236,19763.2140625,25,3.84,26.0,34.862,32.306
237,19763.29011574074,25,5.476,27.0,35.069,33.959
238,19763.32275462963,25,3.5540000000000003,27.0,34.854,32.044000000000004
239,19763.352662037036,25,7.9990000000000006,27.0,35.356,36.551
240,19763.413738425927,25,3.0020000000000002,29.0,34.795,31.507
241,19763.442395833332,25,5.138,26.0,35.069,33.651
242,19763.522430555557,25,3.452,27.0,34.862,31.961000000000002
243,19763.525324074075,25,7.83,27.0,35.33,36.369
244,19763.597777777777,25,4.923,26.0,35.057,33.445
245,19763.630347222224,25,7.72,26.0,35.314,36.251
246,19763.630983796294,25,2.882,27.0,34.81,31.414
247,19763.72923611111,25,7.9670000000000005,27.0,35.349000000000004,36.515
248,19763.74494212963,25,4.673,27.0,35.051,33.214
249,19763.753391203703,25,3.3770000000000002,27.0,34.873,31.904
250,19763.833564814817,25,7.796,28.0,35.334,36.342
251,19763.886226851853,25,7.531000000000001,25.0,35.307,36.067
252,19763.89025462963,25,4.585,27.0,35.019,33.108000000000004
253,19763.948333333334,25,7.851,26.0,35.344,36.402
254,19763.992291666666,25,7.441,25.0,35.258,35.938
255,19764.03079861111,25,2.63,25.0,34.926,31.283
256,19764.030949074073,25,4.706,25.0,34.981,33.184
257,19764.0491087963,25,7.423,26.0,35.24,35.906
258,19764.079282407405,25,7.465,26.0,35.228,35.934
259,19764.10875,25,7.48,26.0,35.215,35.936
260,19764.15303240741,25,7.72,27.0,35.193,36.14
261,19764.15986111111,25,0.896,25.0,34.851,29.707
262,19764.181203703705,25,7.19,26.0,34.761,35.253
263,19764.211319444443,25,6.472,26.0,34.199,34.091
264,19764.30570601852,25,-0.686,27.0,34.769,28.29
265,19764.38087962963,25,8.18,51.0,35.27,36.653
266,19764.429594907408,25,0.291,27.0,34.799,29.147000000000002
267,19764.524930555555,25,7.87,27.0,35.196,36.283
