,TIME,DEPTH,PRES
681,20542.135231481483,25,27.0
682,20542.150613425925,25,28.0
683,20542.180173611112,25,26.0
684,20542.26166666667,25,26.0
685,20542.262569444447,25,27.0
686,20542.320949074074,25,27.0
687,20542.33454861111,25,27.0
688,20542.387962962963,25,26.0
689,20542.44851851852,25,25.0
690,20542.45545138889,25,27.0
691,20542.54295138889,25,25.0
692,20542.593946759258,25,26.0
693,20542.675925925927,25,26.0
694,20542.748599537037,25,25.0
695,20542.808622685185,25,25.0
696,20542.86650462963,25,26.0
697,20542.937569444442,25,26.0
698,20542.987777777777,25,27.0
699,20542.991388888888,25,27.0
700,20543.040810185186,25,27.0
701,20543.04841435185,25,26.0
702,20543.10653935185,25,26.0
703,20543.145833333332,25,28.0
704,20543.18204861111,25,28.0
705,20543.197870370368,25,26.0
706,20543.259918981483,25,26.0
707,20543.32829861111,25,26.0
708,20543.39159722222,25,28.0
709,20543.394710648146,25,26.0
710,20543.458472222224,25,26.0
711,20543.535023148146,25,27.0
712,20543.574016203704,25,27.0
713,20543.590775462962,25,27.0
714,20543.711805555555,25,26.0
715,20543.78835648148,25,26.0
716,20543.849212962963,25,26.0
717,20543.869444444445,25,27.0
718,20543.90096064815,25,26.0
719,20543.923831018517,25,26.0
720,20543.96133101852,25,27.0
721,20543.999409722222,25,25.0
722,20544.000011574073,25,27.0
723,20544.045312500002,25,27.0
724,20544.087731481482,25,27.0
725,20544.13533564815,25,26.0
726,20544.18296296296,25,26.0
727,20544.187314814815,25,26.0
728,20544.201863425926,25,28.0
729,20544.258541666666,25,27.0
730,20544.261805555554,25,26.0
731,20544.267372685186,25,27.0
732,20544.346099537037,25,27.0
733,20544.36795138889,25,26.0
734,20544.408229166667,25,26.0
735,20544.40857638889,25,28.0
736,20544.45582175926,25,26.0
737,20544.45954861111,25,27.0
738,20544.486099537036,25,26.0
739,20544.501724537036,25,26.0
740,20544.550983796296,25,27.0
741,20544.615497685187,25,26.0
742,20544.637164351854,25,26.0
743,20544.670069444444,25,28.0
744,20544.675243055553,25,26.0
745,20544.719988425928,25,27.0
746,20544.73957175926,25,26.0
747,20544.7625,25,27.0
748,20544.82746527778,25,27.0
749,20544.836400462962,25,26.0
750,20544.87394675926,25,27.0
751,20544.899895833332,25,27.0
752,20544.938125,25,27.0
753,20544.961354166666,25,27.0
754,20545.014930555557,25,28.0
755,20545.032962962963,25,27.0
756,20545.039409722223,25,27.0
757,20545.08915509259,25,26.0
758,20545.12497685185,25,27.0
759,20545.133877314813,25,27.0
760,20545.1852662037,25,26.0
761,20545.19042824074,25,26.0
762,20545.224189814817,25,26.0
763,20545.269398148146,25,27.0
764,20545.269421296296,25,26.0
765,20545.285358796296,25,26.0
766,20545.395752314816,25,26.0
767,20545.438275462962,25,26.0
768,20545.477592592593,25,28.0
769,20545.479618055553,25,26.0
770,20545.530891203704,25,26.0
771,20545.57267361111,25,26.0
772,20545.61972222222,25,26.0
773,20545.696608796297,25,25.0
774,20545.719375,25,26.0
775,20545.756354166668,25,26.0
776,20545.89091435185,25,26.0
777,20545.90857638889,25,28.0
778,20545.925578703704,25,27.0
779,20545.93425925926,25,25.0
780,20545.954421296297,25,26.0
781,20545.959016203702,25,26.0
782,20545.97238425926,25,27.0
783,20546.014444444445,25,26.0
784,20546.02128472222,25,27.0
785,20546.04957175926,25,26.0
786,20546.069375,25,26.0
787,20546.082893518516,25,26.0
788,20546.120532407407,25,27.0
789,20546.12564814815,25,27.0
790,20546.138831018518,25,27.0
791,20546.150162037036,25,26.0
792,20546.16689814815,25,27.0
793,20546.17650462963,25,26.0
794,20546.221493055556,25,26.0
795,20546.308900462962,25,27.0
796,20546.352905092594,25,26.0
797,20546.35505787037,25,
798,20546.39710648148,25,25.0
799,20546.44465277778,25,26.0
800,20546.44790509259,25,26.0
801,20546.482060185186,25,26.0
802,20546.513055555555,25,27.0
803,20546.51667824074,25,27.0
804,20546.581469907407,25,26.0
805,20546.748599537037,25,25.0
806,20546.789097222223,25,29.0
807,20546.82283564815,25,27.0
808,20546.824085648146,25,25.0
809,20546.89520833333,25,25.0
810,20546.901018518518,25,27.0
811,20546.939398148148,25,28.0
812,20546.94949074074,25,26.0
813,20546.967916666665,25,27.0
814,20547.01005787037,25,27.0
815,20547.018136574075,25,27.0
816,20547.056585648148,25,26.0
817,20547.065636574076,25,26.0
818,20547.137939814816,25,26.0
